Simulation Outcome,Configuration 1,Configuration 2,Configuration 3,Benchmark Case
Doctor utilisation,0.269 (0.002),0.372 (0.004),0.354 (0.001),1.141 (0.005)
NCD Nurse utilisation,0.868 (0.01),0.467 (0.004),0.467 (0.004),1.23 (0.015)
Staff nurse utilisation,0.318 (0.007),0.246 (0.006),0.161 (0.001),0.326 (0.009)
Pharmacist utilisation,0.643 (0.003),0.289 (0.003),0.288 (0.003),0.854 (0.004)
Lab utilisation,0.555 (0.007),0.254 (0.003),0.239 (0.004),0.729 (0.015)
Inpatient bed utilisation,0.092 (0.004),0.057 (0.004),0.012 (0.001),0.094 (0.004)
Labour bed utilisation,0.28 (0.014),0.157 (0.007),nan (nan),0.285 (0.013)
Mean length of OPD queue (number of patients),0.001 (0.0),0.007 (0.001),0.001 (0.0),0.813 (0.04)
OPD queue waiting time (minutes),0.008 (0.004),0.178 (0.032),0.035 (0.002),6.937 (0.317)
Mean length of pharmacy queue (number of patients),0.09 (0.003),0.01 (0.0),0.009 (0.0),0.15 (0.003)
Pharmacy queue waiting time (minutes),1.028 (0.031),0.244 (0.005),0.23 (0.006),1.282 (0.02)
Mean length of Lab queue (number of patients),0.095 (0.003),0.012 (0.0),0.011 (0.0),0.186 (0.006)
Lab queue waiting time (minutes),2.093 (0.044),0.597 (0.016),0.561 (0.024),3.124 (0.082)
Fraction of childbirth cases referred,0.148 (0.015),0.092 (0.01),nan (nan),0.166 (0.019)
